District,Name of,Year of,2007-,2008-,2009-,2010-,2011-,2012-,2012-,2013-,2014-,2015-,2016-
Erode,"BhavanisagarRBC",1998,36.648,33.09,26.752,20.709,23.743,0.064,0.057,NA,18.897,7.164,-0.003
Erode,"BhavanisagarMicro Hydel",1990,46.248,44.74,36.629,32.98,41.442,16.178,16.067,NA,31.394,30.008,18.192
Coimbatore,"PoonachiMicro",1992,1.501,0.189,3.376,4.496,1.444,1.696,1.662,NA,3.231,3.199,1.722
Tiruvannamalai,"SathanurMicro",1999,5.15,12.87,6.508,10.189,10.725,5.081,5.04,NA,0.987,10.705,0.41
Nilgiris,"MukuruthyMicro",2000,1.884,1.68,2.177,1.443,1.478,1.147,1.12,NA,1.825,0.289,0.262
Tiruppur,"ThirumoorthiMicro",2000,6.065,5.92,3.131,3.799,3.208,1.964,1.938,NA,1.721,1.163,1.359
Coimbatore,Lower Aliyar,2002,10.766,10.91,7.779,8.533,8.638,4.022,3.975,NA,6.238,8.005,-0.013
Coimbatore,Amaravathy,2006,9.456,7.34,10.164,8.691,6.648,2.282,2.225,NA,6.104,4.845,0.77
Kanyakumari,Perunchani,2006,1.149,2.45,2.342,2.677,0.933,0.244,0.237,NA,-0.003,1.255,-0.013
Theni,Periyar,1965,290.242,451.96,394.754,428.739,533.254,179.084,177.928,NA,515.721,503.076,93.091
Theni,"Vaigai MicroHydel",1990,26.685,23.77,10.373,15.135,23.544,3.201,3.116,NA,15.434,17.935,1.654
,,,,,,,,,,,,,
District,"Name ofPower House","Year ofOperation","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017"
Theni,"Periyar VaigaiMicro I, II andIII",2010,NA,NA,NA,1.039,7.867,1.862,1.807,NA,17.225,18.767,1.877
Theni,Suruliyar,1986,121.164,99.89,98.631,97.747,115.18,49.361,49.081,NA,102.916,92.035,41.918
Tirunelveli,Papanasam,1951,136.371,136.88,129.196,136.778,121.599,63.248,62.641,NA,117.374,115.745,65.709
Tirunelveli,Servalar,1987,47.166,34.51,26.047,38.84,27.099,9.604,9.546,NA,38.544,38.925,11.862
Coimbatore,Sakarapathy,1966,153.402,128.63,121.08,134.795,109.459,83.68,83.589,NA,134.139,79.113,63.188
Coimbatore,Aliyar,1970,183.201,152.22,165.692,162.921,173.908,76.68,76.231,NA,153.842,152.409,61.221
Tiruppur,Kadamparai,1988,453.928,291.77,496.719,568.952,506.532,302.063,297.304,NA,499.129,411.058,286.74
Coimbatore,Sholayar - 1,1971,374.615,235.08,287.043,355.208,216.967,145.446,145.081,NA,195.967,206.633,183.806
Coimbatore,Sholayar - 2,1971,63.936,65.55,63.524,56.962,60.96,56.529,56.358,NA,64.854,56.56,42.577
Kanyakumari,Kodayar - 1,1971,200.762,191.03,195.912,80.864,214.471,74.983,74.733,NA,135.601,192.269,126.797
Kanyakumari,Kodayar - 2,1971,83.774,89.48,83.168,64.172,81.255,31.436,31.289,NA,65.677,85.547,42.011
,"Total Hydro PowerNet Generation (MU)",6431.386,5363.509,5618.325,5081.723,5328.727,2904.943,2884.633,NA,5164.235,4632.825,4632.825,
