S.No,Type of Power,Power Station,Year of Operation,Installed capacity(M.W) *,Generation during the year 2010-11 M.U **,Consumption Auxiliaries in M.U **,Net Generation inM.U **
51,Gas,TNEB,NA,0,12.676,NA,12.676
Total,Gas,Sub Total,NA,515.88,1448.541,95.251,2693.9
52,Central Sector-Purchases,Neyveli TPS 1,1962,600/475,3066.283,NA,3066.283
53,Central Sector-Purchases,Neyveli TPS 1-Expansion,2003,420/226,1509.305,NA,1509.305
54,Central Sector-Purchases,Neyveli TPS 2,1986,1440/466,3041.672,NA,3041.672
55,Central Sector-Purchases,MAPS Nuclear,1983,440/330,1398.218,NA,1398.218
56,Central Sector-Purchases,Kaiga Nuclear (Karnataka),2000,880/207,860.067,NA,860.067
57,Central Sector-Purchases,Ramagundam STPS (A.P),1984,2100/527,4038.821,NA,4038.821
58,Central Sector-Purchases,Ramagundam STPS (A.P) U7,2005,500/132,1024.156,NA,1024.156
59,Central Sector-Purchases,ER Power,NA,125,735.21,NA,735.21
60,Central Sector-Purchases,Talcher St-2,2003-05,2000/498,3664.69,NA,3664.69
61,Central Sector-Purchases,NTPC Kayamkulam ( TNEB),NA,180,854.384,NA,854.384
62,Central Sector-Purchases,UI Energy,NA,NA,1441.486,NA,1441.486
Total,Central Sector-Purchases,Sub Total,NA,3166,21634.291,NA,21634.291
63,Private Sector - Purchases,1998,196,874.612,NA,NA,874.612
64,Private Sector - Purchases,2001,105.66,377.549,NA,NA,377.549
65,Private Sector - Purchases,2001,106,353.212,NA,NA,353.212
66,Private Sector - Purchases,2001,330.5,2494.053,NA,NA,2494.053
67,Private Sector - Purchases,2002,250,1652.196,NA,NA,1652.196
68,Private Sector - Purchases,2005,120,820.374,NA,NA,820.374
69,Private Sector - Purchases,2006,71.6,370.17,NA,NA,370.17
Total,Private Sector - Purchases,Total,1179.76,6942.166,NA,NA,6942.166
70,CPP,TCPL,NA,63.75,NA,NA,NA
71,CPP,Hi-tec,NA,10.5,426.317,NA,426.317
72,CPP,CPCL (Manali),NA,65,NA,NA,NA
73,CPP,Other CPPS,NA,75.4,NA,NA,NA
74,CPP,Co-Generation ***,NA,609.9,797.227,NA,797.227
75,CPP,Wind Mill + Solar (Pvt.) ***,NA,5874.615,8709.439,NA,8709.439
76,CPP,Bio-mass ***,NA,139.05,157.295,NA,157.295
77,CPP,Power export under swap,NA,NA,-1038.954,NA,-1038.954
78,CPP,Power receipt under swap,NA,NA,1095.49,NA,1095.49
79,CPP,Purchases,NA,NA,10483.271,NA,10483.271
Total,CPP,Sub Total,NA,NA,27572.252,NA,27572.252
Total,CPP,Total Installed Capacity,NA,10237,74845.185,NA,74845.185
80,CPP,Power Demand,NA,NA,NA,NA,NA
81,CPP,(i) Instantaneous Demand met,NA,NA,NA,10702 MW / 17.02.2011 ,NA
82,CPP,(ii) Sustained Demand met,NA,NA,NA,10670 MW / 19.02.2011,NA
