S.No,Type of Power Station,Name of Power Station,Year of operation in 2017-18,Installed Capacity in 2017-18 (in MW),Generation in 2017-18 (in MU),Auxiliary Consumption in 2017-18 (in MU),Net Generation in 2017-18 (in MU)
74,Private Sector-Purchases,Lanco Tanjore Power Company Limited,2005,113.2,469.439,NA,NA
75,Private Sector-Purchases,Pioneer Power Limited,2006,52.8,370.862,NA,NA
Total,Private Sector-Purchases,Sub Total,NA,746.5,1755.1,NA,NA
76,NA,CPP direct,NA,1074.8,22.238,NA,NA
77,NA,CPP Purchase through traders (STOA),NA,NA,51.96,NA,NA
78,NA,Co-Generation,NA,NA,332.966,NA,NA
79,NA,Wind Mill (Private),NA,NA,12671.023,NA,NA
80,NA,Biomass,NA,NA,13.608,NA,NA
81,NA,Solar (Private),NA,NA,2904.459,NA,NA
82,NA,Trading Purchase (Bilateral),NA,NA,4793.737,NA,NA
83,NA,Trading Purchase (Exchange),NA,NA,934.33,NA,NA
84,NA,Trading Purchase (Case 1 bidding),NA,3630,15910.88,NA,NA
85,NA,Swap receipt,NA,NA,819.212,NA,NA
86,NA,Swap return / Swap Banking / sale,NA,NA,0,NA,NA
87,NA,Total wheeling quantum by HT,NA,NA,7452.028,NA,NA
88,NA,Power sale to other states by TANGEDCO,NA,NA,-16.999,NA,NA
89,NA,Power sale to other states by Private generators,NA,NA,-294.96,NA,NA
90,NA,TNEB Generation towards Inter State Sale,NA,NA,16.999,NA,NA
91,NA,CPP Power injected towards Inter State Sale,NA,NA,294.96,NA,NA
92,NA,Total Installed capacity (firm),NA,18747.28,NA,NA,NA
93,NA,Total Installed capacity (infirm),NA,11112.71,NA,NA,NA
94,NA,Instaneous Power Demand met,NA,NA,15240,NA,NA
95,NA,Sustained Power Demand met,NA,NA,15230,NA,NA
